,state_code,quarter,policy,score
991,WY,Q2,inmate_social_distance,13
992,WY,Q3,inmate_social_distance,13
993,WY,Q4,inmate_social_distance,13
994,WY,Q1,inmate_social_distance,13
995,AK,Q2,inmate_social_distance_sleep,11
996,AK,Q3,inmate_social_distance_sleep,13
997,AK,Q4,inmate_social_distance_sleep,13
998,AK,Q1,inmate_social_distance_sleep,13
1055,KS,Q2,inmate_social_distance_sleep,11
1056,KS,Q3,inmate_social_distance_sleep,13
1057,KS,Q4,inmate_social_distance_sleep,13
1058,KS,Q1,inmate_social_distance_sleep,13
1194,AK,Q2,inmate_screening,13
1195,AK,Q3,inmate_screening,13
1196,AK,Q4,inmate_screening,13
1197,AK,Q1,inmate_screening,13
1198,AL,Q2,inmate_screening,10
1199,AL,Q3,inmate_screening,13
1200,AL,Q4,inmate_screening,13
1201,AL,Q1,inmate_screening,13
1202,AR,Q2,inmate_screening,13
1203,AR,Q3,inmate_screening,13
1204,AR,Q4,inmate_screening,13
1205,AR,Q1,inmate_screening,13
1210,CA,Q2,inmate_screening,7
1211,CA,Q3,inmate_screening,13
1212,CA,Q4,inmate_screening,13
1213,CA,Q1,inmate_screening,13
1214,CO,Q2,inmate_screening,13
1222,DE,Q2,inmate_screening,13
1223,DE,Q3,inmate_screening,13
1224,DE,Q4,inmate_screening,13
1225,DE,Q1,inmate_screening,13
1228,FL,Q4,inmate_screening,5
1229,FL,Q1,inmate_screening,13
1230,GA,Q2,inmate_screening,13
1231,GA,Q3,inmate_screening,13
1232,GA,Q4,inmate_screening,13
1233,GA,Q1,inmate_screening,13
1234,HI,Q2,inmate_screening,9
1235,HI,Q3,inmate_screening,13
1236,HI,Q4,inmate_screening,13
1237,HI,Q1,inmate_screening,13
1238,IA,Q2,inmate_screening,13
1239,IA,Q3,inmate_screening,13
1240,IA,Q4,inmate_screening,13
1241,IA,Q1,inmate_screening,13
1242,ID,Q2,inmate_screening,13
1243,ID,Q3,inmate_screening,13
1244,ID,Q4,inmate_screening,13
1245,ID,Q1,inmate_screening,13
1247,IL,Q3,inmate_screening,9
1248,IL,Q4,inmate_screening,13
1249,IL,Q1,inmate_screening,13
1250,IN,Q2,inmate_screening,13
1251,IN,Q3,inmate_screening,13
1252,IN,Q4,inmate_screening,13
1253,IN,Q1,inmate_screening,13
1254,KS,Q2,inmate_screening,13
1255,KS,Q3,inmate_screening,13
1256,KS,Q4,inmate_screening,13
1257,KS,Q1,inmate_screening,13
1270,MD,Q2,inmate_screening,7
1271,MD,Q3,inmate_screening,13
1272,MD,Q4,inmate_screening,13
1273,MD,Q1,inmate_screening,13
1274,ME,Q2,inmate_screening,13
1275,ME,Q3,inmate_screening,13
1276,ME,Q4,inmate_screening,13
1277,ME,Q1,inmate_screening,13
1282,MN,Q2,inmate_screening,13
1283,MN,Q3,inmate_screening,13
1284,MN,Q4,inmate_screening,13
1285,MN,Q1,inmate_screening,13
1286,MO,Q2,inmate_screening,13
1287,MO,Q3,inmate_screening,13
1288,MO,Q4,inmate_screening,13
1289,MO,Q1,inmate_screening,2
1290,MS,Q2,inmate_screening,3
1291,MS,Q3,inmate_screening,13
1292,MS,Q4,inmate_screening,13
1293,MS,Q1,inmate_screening,2
1294,MT,Q2,inmate_screening,13
1295,MT,Q3,inmate_screening,13
1296,MT,Q4,inmate_screening,13
1297,MT,Q1,inmate_screening,2
1298,NC,Q2,inmate_screening,13
1299,NC,Q3,inmate_screening,13
1300,NC,Q4,inmate_screening,5
1306,NE,Q2,inmate_screening,12
1307,NE,Q3,inmate_screening,13
1308,NE,Q4,inmate_screening,13
1309,NE,Q1,inmate_screening,2
1310,NH,Q2,inmate_screening,13
1311,NH,Q3,inmate_screening,13
1312,NH,Q4,inmate_screening,13
1313,NH,Q1,inmate_screening,13
1314,NJ,Q2,inmate_screening,13
1315,NJ,Q3,inmate_screening,13
1316,NJ,Q4,inmate_screening,13
1317,NJ,Q1,inmate_screening,13
1318,NM,Q2,inmate_screening,13
1319,NM,Q3,inmate_screening,13
1320,NM,Q4,inmate_screening,13
1321,NM,Q1,inmate_screening,13
1322,NV,Q2,inmate_screening,13
1323,NV,Q3,inmate_screening,13
1324,NV,Q4,inmate_screening,13
1325,NV,Q1,inmate_screening,13
1334,OK,Q2,inmate_screening,13
1335,OK,Q3,inmate_screening,13
1336,OK,Q4,inmate_screening,13
1337,OK,Q1,inmate_screening,13
1342,PA,Q2,inmate_screening,9
1350,SC,Q2,inmate_screening,13
1351,SC,Q3,inmate_screening,13
1352,SC,Q4,inmate_screening,10
1354,SD,Q2,inmate_screening,13
1355,SD,Q3,inmate_screening,13
1356,SD,Q4,inmate_screening,10
1358,TN,Q2,inmate_screening,13
1359,TN,Q3,inmate_screening,13
1360,TN,Q4,inmate_screening,10
1361,TX,Q2,inmate_screening,13
1362,TX,Q3,inmate_screening,13
1363,TX,Q4,inmate_screening,8
1365,UT,Q2,inmate_screening,9
1366,UT,Q3,inmate_screening,13
1367,UT,Q4,inmate_screening,13
1369,VA,Q2,inmate_screening,13
1370,VA,Q3,inmate_screening,13
1371,VA,Q4,inmate_screening,12
1373,VT,Q2,inmate_screening,5
1374,VT,Q3,inmate_screening,13
1375,VT,Q4,inmate_screening,12
1377,WA,Q2,inmate_screening,7
1378,WA,Q3,inmate_screening,13
1379,WA,Q4,inmate_screening,11
1385,WV,Q2,inmate_screening,13
1386,WV,Q3,inmate_screening,13
1387,WV,Q4,inmate_screening,13
1388,WV,Q1,inmate_screening,13
1389,WY,Q2,inmate_screening,5
1390,WY,Q3,inmate_screening,13
1391,WY,Q4,inmate_screening,13
1392,WY,Q1,inmate_screening,13
1397,AL,Q2,inmate_quarantine,13
1398,AL,Q3,inmate_quarantine,13
1399,AL,Q4,inmate_quarantine,13
1400,AL,Q1,inmate_quarantine,13
1401,AR,Q2,inmate_quarantine,13
1402,AR,Q3,inmate_quarantine,13
1403,AR,Q4,inmate_quarantine,13
1404,AR,Q1,inmate_quarantine,13
1409,CA,Q2,inmate_quarantine,7
1410,CA,Q3,inmate_quarantine,13
1411,CA,Q4,inmate_quarantine,13
1412,CA,Q1,inmate_quarantine,13
1413,CO,Q2,inmate_quarantine,13
1414,CO,Q3,inmate_quarantine,10
1417,CT,Q2,inmate_quarantine,13
1418,CT,Q3,inmate_quarantine,10
1421,DE,Q2,inmate_quarantine,12
1422,DE,Q3,inmate_quarantine,2
1425,FL,Q2,inmate_quarantine,12
1426,FL,Q3,inmate_quarantine,13
1427,FL,Q4,inmate_quarantine,13
1428,FL,Q1,inmate_quarantine,13
1433,HI,Q2,inmate_quarantine,9
1434,HI,Q3,inmate_quarantine,13
1435,HI,Q4,inmate_quarantine,13
1436,HI,Q1,inmate_quarantine,13
1437,IA,Q2,inmate_quarantine,13
1438,IA,Q3,inmate_quarantine,13
1439,IA,Q4,inmate_quarantine,13
1440,IA,Q1,inmate_quarantine,13
1441,ID,Q2,inmate_quarantine,9
1442,ID,Q3,inmate_quarantine,13
1443,ID,Q4,inmate_quarantine,13
1444,ID,Q1,inmate_quarantine,13
1445,IL,Q2,inmate_quarantine,5
1446,IL,Q3,inmate_quarantine,13
1447,IL,Q4,inmate_quarantine,13
1448,IL,Q1,inmate_quarantine,13
1449,IN,Q2,inmate_quarantine,13
1450,IN,Q3,inmate_quarantine,13
1451,IN,Q4,inmate_quarantine,13
1452,IN,Q1,inmate_quarantine,13
1453,KS,Q2,inmate_quarantine,12
1454,KS,Q3,inmate_quarantine,13
1455,KS,Q4,inmate_quarantine,13
1456,KS,Q1,inmate_quarantine,13
1469,MD,Q2,inmate_quarantine,7
1470,MD,Q3,inmate_quarantine,13
1471,MD,Q4,inmate_quarantine,13
1472,MD,Q1,inmate_quarantine,13
1475,ME,Q4,inmate_quarantine,13
1476,ME,Q1,inmate_quarantine,13
1477,MI,Q2,inmate_quarantine,4
1478,MI,Q3,inmate_quarantine,13
1479,MI,Q4,inmate_quarantine,13
1480,MI,Q1,inmate_quarantine,13
1485,MO,Q2,inmate_quarantine,10
1486,MO,Q3,inmate_quarantine,13
1487,MO,Q4,inmate_quarantine,13
1488,MO,Q1,inmate_quarantine,2
1489,MS,Q2,inmate_quarantine,11
1490,MS,Q3,inmate_quarantine,13
1491,MS,Q4,inmate_quarantine,13
1492,MS,Q1,inmate_quarantine,2
1493,MT,Q2,inmate_quarantine,3
1494,MT,Q3,inmate_quarantine,13
1495,MT,Q4,inmate_quarantine,13
1496,MT,Q1,inmate_quarantine,2
1497,NC,Q2,inmate_quarantine,13
1498,NC,Q3,inmate_quarantine,13
1499,NC,Q4,inmate_quarantine,5
1501,ND,Q2,inmate_quarantine,13
1502,ND,Q3,inmate_quarantine,13
1503,ND,Q4,inmate_quarantine,4
1505,NE,Q2,inmate_quarantine,7
1506,NE,Q3,inmate_quarantine,13
1507,NE,Q4,inmate_quarantine,13
1508,NE,Q1,inmate_quarantine,2
1509,NH,Q2,inmate_quarantine,5
1510,NH,Q3,inmate_quarantine,13
1511,NH,Q4,inmate_quarantine,13
1512,NH,Q1,inmate_quarantine,13
1513,NJ,Q2,inmate_quarantine,13
1514,NJ,Q3,inmate_quarantine,13
1515,NJ,Q4,inmate_quarantine,13
1516,NJ,Q1,inmate_quarantine,13
1517,NM,Q2,inmate_quarantine,6
1518,NM,Q3,inmate_quarantine,13
1519,NM,Q4,inmate_quarantine,13
1520,NM,Q1,inmate_quarantine,13
1521,NV,Q2,inmate_quarantine,6
1522,NV,Q3,inmate_quarantine,13
1523,NV,Q4,inmate_quarantine,13
1524,NV,Q1,inmate_quarantine,13
1534,OK,Q3,inmate_quarantine,10
1535,OK,Q4,inmate_quarantine,13
1536,OK,Q1,inmate_quarantine,13
1549,SC,Q2,inmate_quarantine,11
1550,SC,Q3,inmate_quarantine,13
1551,SC,Q4,inmate_quarantine,10
1553,SD,Q2,inmate_quarantine,13
1554,SD,Q3,inmate_quarantine,13
1555,SD,Q4,inmate_quarantine,10
1557,TN,Q2,inmate_quarantine,13
1558,TN,Q3,inmate_quarantine,13
1559,TN,Q4,inmate_quarantine,10
1560,TX,Q2,inmate_quarantine,13
1561,TX,Q3,inmate_quarantine,13
1562,TX,Q4,inmate_quarantine,8
1564,UT,Q2,inmate_quarantine,13
1565,UT,Q3,inmate_quarantine,13
1566,UT,Q4,inmate_quarantine,13
1569,VA,Q3,inmate_quarantine,1
1570,VA,Q4,inmate_quarantine,12
1572,VT,Q2,inmate_quarantine,12
1573,VT,Q3,inmate_quarantine,13
1574,VT,Q4,inmate_quarantine,12
1576,WA,Q2,inmate_quarantine,12
1577,WA,Q3,inmate_quarantine,13
1578,WA,Q4,inmate_quarantine,11
1580,WI,Q2,inmate_quarantine,13
1581,WI,Q3,inmate_quarantine,13
1582,WI,Q4,inmate_quarantine,13
1583,WI,Q1,inmate_quarantine,13
1584,WV,Q2,inmate_quarantine,9
1585,WV,Q3,inmate_quarantine,13
1586,WV,Q4,inmate_quarantine,13
1587,WV,Q1,inmate_quarantine,13
1592,AK,Q2,inmate_visitation_suspended,13
1593,AK,Q3,inmate_visitation_suspended,13
1594,AK,Q4,inmate_visitation_suspended,13
1595,AK,Q1,inmate_visitation_suspended,13
1596,AL,Q2,inmate_visitation_suspended,13
1597,AL,Q3,inmate_visitation_suspended,13
1600,AR,Q2,inmate_visitation_suspended,13
1601,AR,Q3,inmate_visitation_suspended,13
1602,AR,Q4,inmate_visitation_suspended,13
1603,AR,Q1,inmate_visitation_suspended,13
1604,AZ,Q2,inmate_visitation_suspended,13
1605,AZ,Q3,inmate_visitation_suspended,13
1606,AZ,Q4,inmate_visitation_suspended,13
1607,AZ,Q1,inmate_visitation_suspended,13
1608,CA,Q2,inmate_visitation_suspended,13
1609,CA,Q3,inmate_visitation_suspended,13
1610,CA,Q4,inmate_visitation_suspended,13
1611,CA,Q1,inmate_visitation_suspended,13
1612,CO,Q2,inmate_visitation_suspended,13
1613,CO,Q3,inmate_visitation_suspended,10
1616,CT,Q2,inmate_visitation_suspended,13
1617,CT,Q3,inmate_visitation_suspended,10
1620,DE,Q2,inmate_visitation_suspended,13
1624,FL,Q2,inmate_visitation_suspended,12
1625,FL,Q3,inmate_visitation_suspended,13
1626,FL,Q4,inmate_visitation_suspended,4
1628,GA,Q2,inmate_visitation_suspended,13
1629,GA,Q3,inmate_visitation_suspended,13
1630,GA,Q4,inmate_visitation_suspended,13
1631,GA,Q1,inmate_visitation_suspended,13
1632,HI,Q2,inmate_visitation_suspended,13
1633,HI,Q3,inmate_visitation_suspended,13
1634,HI,Q4,inmate_visitation_suspended,13
1635,HI,Q1,inmate_visitation_suspended,13
1636,IA,Q2,inmate_visitation_suspended,13
1637,IA,Q3,inmate_visitation_suspended,13
1638,IA,Q4,inmate_visitation_suspended,13
1639,IA,Q1,inmate_visitation_suspended,13
1640,ID,Q2,inmate_visitation_suspended,13
1641,ID,Q3,inmate_visitation_suspended,13
1642,ID,Q4,inmate_visitation_suspended,13
1643,ID,Q1,inmate_visitation_suspended,13
1644,IL,Q2,inmate_visitation_suspended,13
1645,IL,Q3,inmate_visitation_suspended,13
1646,IL,Q4,inmate_visitation_suspended,13
1647,IL,Q1,inmate_visitation_suspended,13
1648,IN,Q2,inmate_visitation_suspended,13
1649,IN,Q3,inmate_visitation_suspended,13
1650,IN,Q4,inmate_visitation_suspended,13
1651,IN,Q1,inmate_visitation_suspended,13
1652,KS,Q2,inmate_visitation_suspended,13
1653,KS,Q3,inmate_visitation_suspended,13
1654,KS,Q4,inmate_visitation_suspended,13
1655,KS,Q1,inmate_visitation_suspended,13
1657,KY,Q3,inmate_visitation_suspended,2
1658,KY,Q4,inmate_visitation_suspended,13
1659,KY,Q1,inmate_visitation_suspended,13
1660,LA,Q2,inmate_visitation_suspended,13
1661,LA,Q3,inmate_visitation_suspended,10
1662,LA,Q4,inmate_visitation_suspended,4
1663,LA,Q1,inmate_visitation_suspended,10
1664,MA,Q2,inmate_visitation_suspended,13
1665,MA,Q3,inmate_visitation_suspended,13
1666,MA,Q4,inmate_visitation_suspended,7
1667,MA,Q1,inmate_visitation_suspended,13
1668,MD,Q2,inmate_visitation_suspended,13
1669,MD,Q3,inmate_visitation_suspended,13
1670,MD,Q4,inmate_visitation_suspended,13
